siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
5410857,14,541085700014,O,,NN,,,2024-03-30T04:38:49,true,1,,37,,,,RUE,PIERRE SAUVAGE,80100,ABBEVILLE,,,80001,,,,,800011540_B,616258.73457556,7001859.6001464715,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
5410873,29,541087300029,O,1980-01-01,NN,,,2024-03-29T23:26:50,true,1,,9,,,,RUE,CHARLES DE GAULLE,80220,GAMACHES,,,80373,,,,,803730110_B,596695.9946395296,6988206.102848349,,,,,,,,,,,,,,,1999-12-31,F,,,,,70.2C,NAF1993,N
5410899,24,541089900024,O,2000-01-01,NN,,,2024-03-30T06:22:01,true,1,,21,,,,BOULEVARD,VOLTAIRE,80100,ABBEVILLE,,,80001,,,,,800012270_B,615793.821516623,7001283.867209569,,,,,,,,,,,,,,,2001-03-22,F,,,,,74.1J,NAF1993,N
5410949,19,541094900019,O,,NN,,,2024-03-30T13:48:46,true,1,,35,,,,PLACE,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,800010970_B,616484.3364561212,7001530.645093034,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
5410980,14,541098000014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80132,MIANNAY,,,80546,,,,,,,,,,,,,,,,,,,,,,1987-06-30,F,,,,,67.07,NAP,N
5411053,19,541105300019,O,,NN,,,2024-03-30T18:33:22,true,1,,,,,,RUE,D’ABBEVILLE,80870,MOYENNEVILLE,,,80578,,,,,80578fmopny_B,612744.6004444173,6997291.909723834,,,,,,,,,,,,,,,1991-03-31,F,,,,,65.03,NAP,N
5411236,10,541123600010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DU MOULIN,80220,MAISNIERES,,,80500,,,,,,,,,,,,,,,,,,,,,,,F,,,,,55.40,NAP,N
5411343,14,541134300014,O,,NN,,,2024-04-25T09:37:19,true,1,,,,,,RUE,DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1992-10-31,F,,,,,50.1Z,NAF1993,N
5411434,11,541143400011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80120,FAVIERES,,,80303,,,,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,65.02,NAP,N
5411483,18,541148300018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N
